,AGE_GROUP
0,25-44
3,18-24
4,45-64
7,<18
34,65+
4977,941
4029486,1928
4032425,2007
4032894,1042
4033498,1918
4033755,1916
4034450,1947
4035777,2000
4036010,1937
4053138,1942
4063087,1953
4063147,1998
4076164,1024
4081897,1948
4091053,1048
4094591,1922
4102457,935
4103689,929
4103694,1018
4105226,937
4186886,918
4204655,938
4222981,927
4231989,940
4232370,928
4244261,926
4270560,931
4312205,924
4317053,942
4346866,922
4351819,930
4356848,932
4382833,943
4397121,936
4400152,955
4402355,945
4404787,895
4406467,948
4407147,934
4425590,808
4428466,317
4428943,812
4449054,949
4450362,923
4454561,909
4465609,914
4472386,231
4485368,896
4546891,640
4547258,709
4571941,951
4579602,212
4587660,925
4620453,200
4623292,314
4626582,954
4663742,723
4685600,947
4708701,309
4710466,959
4714447,921
4728803,910
4750568,912
4753630,330
4758191,446
4768563,944
4790981,320
4808275,894
4832470,323
4833372,
4842045,339
4843901,965
4856652,946
4864721,UNKNOWN
4873621,194
4874061,956
4884000,352
4893219,708
4905814,920
4914490,816
4918166,316
4937447,939
4938855,237
4962829,952
4963853,740
4968004,338
4974441,933
