,Location of death (city)
0,Willits
1,Detroit
3,Carlsbad
4,Sacramento
5,Ellenwood
6,Kinston
8,Uniontown
9,Baltimore
11,Pontiac
12,Dothan
13,Atlanta
14,Memphis
16,White Springs
17,York
18,Charlotte
19,Muscoy
20,Eastpointe
21,Virginia Beach
22,Lucasville
23,Downey
24,Mechanicsville
25,Hayes
27,Savannah
28,Salt Lake City
29,Moreno Valley
30,West Columbia
31,Bala Cynwyd
32,Philadelphia
33,Penn Hills
34,Oakland Park
35,Tampa
36,Midwest City
37,Garland
38,Clifton
40,Jackson
41,Phoenix
42,Modesto
43,Colby
44,North Tustin
45,West Bradford Township
46,Richmond
47,Reno
48,Joliet
49,Astoria
52,Cleveland
53,Kansas City
54,Sumner
55,Benton
57,Raynham
60,Columbus
61,San Antonio
62,Albuquerque
63,Waiʻanae
64,Arnold
65,Providence
66,Jersey City
67,Oakland
68,Waterford Township
69,Grand Island
70,Little
71,San Diego
73,National City
74,New Castle
77,Long Beach
78,Pompano Beach
79,Picayune
80,Southgate
82,Boca Raton
83,Harlem
84,Kingston
85,Los Angeles
86,Harrisburg
87,Ewa Beach
89,Pittsburg
90,Franklin
91,Laurel
93,Stockton
94,Queens
95,Las Vegas
96,Mather
98,Westminster
100,Pico Rivera
101,Hemet
102,Brooklyn Center
103,Colorado Springs
104,Montrose
106,Toledo
107,Commerce City
108,Miami
111,Irvington
112,Peoria
114,Meridian
115,Houston
117,Augusta
118,Hoyt
119,Montebello
120,Fresno
121,Farmersville
123,Healdsburg
124,Lake Forest
125,Layton
128,St. Louis
129,Clearwater
130,College Park
131,Thompson's Station
132,Forest Hill
136,Indianapolis
138,Wilkinsburg
139,Pagedale
140,Oklahoma City
141,Daly City
142,Chicago
144,Hiawatha
145,La Vista
147,Bronx
148,New York City
149,Santa Claus
150,Inman
151,Nashville
152,San Jose
153,Wood River
156,Salter Path
157,Santa Rosa
158,Chesnee
162,Nicholls
163,Pleasant Grove
165,Spokane
166,Pleasant Hills
168,Wentzville
169,St. Charles
170,Siren
172,Gallup
175,Chandler
176,Brooklyn Park
177,Greene
178,Avondale
180,San Bernardino
181,Holton
184,West Deptford
185,New Orleans
186,Sallisaw
187,Camp Pendleton
189,Carnegie
191,Pasadena
192,Denver
194,Williamston
195,Belton
196,Arapahoe
199,Wiggins
202,Jefferson
206,Canton
209,Edwards
210,Gridley
211,Abington
212,Jacksonville
214,Austin
215,Town Creek
216,Brooklyn
220,Howard City
221,Tallmadge
223,Milledgeville
226,Whiting
227,Andover
229,Turlock
230,Norfolk
232,Pownal
233,Gulfport
234,Thousand Oaks
235,Gillett
236,Jack
238,South Boston
240,Chattanooga
242,Windsor
243,Santa Ana
244,Gilbert
245,Trenton
246,Providence Forge
248,Seattle
249,Berkeley
250,Palm Springs
251,Altamont
252,Excelsior Springs
253,Levelland
254,Douglasville
256,Cayce
257,Anchorage
258,Cincinnati
260,Fordyce
261,Springfield
262,Madison
264,Elizabeth
265,Troy
268,Amarillo
269,East Rutherford
272,Sausalito
273,Lynwood
276,Kennesaw
277,Gray Court
278,Pawleys Island
280,Holly Springs
281,Farmington
282,Riesel
290,Cyclone
293,Havertown
296,Alameda
297,Rohnert Park
298,Concord
300,Owensville
301,Nutley
304,Aurora
306,Ft. Pierce
308,Duquesne
309,Fort Payne
310,Riverside
311,Big Bear
312,Westfield
314,Macon
315,GIbbon
316,Portland
318,Anaheim
320,Lakewood
322,Bakersfield
324,Minneapolis
325,Sapulpa
326,Broussard
327,Mount Clemens
328,Marcellus
330,North Charleston
331,Albany
332,Upper Marlboro
333,Edgefield
334,Temple Hills
339,Egg Harbor City
340,Moorpark
341,Somerville
342,Livingston
344,Waterloo
345,Spartanburg
347,Columbia
348,Fort Myers
351,Hazel Crest
352,Pittsburgh
353,Green Township
355,Fayetteville
356,Orlando
357,Stilwell
358,Marietta
362,Amsterdam-Churchill
363,Woodbury
364,Rocky Mount
366,Boynton Beach
367,Continental Divide
368,Boise
369,Baton Rouge
370,Tarpon Springs
371,Pacific Palisades
372,Hawk Point
373,Discovery Bay
376,Talladega
377,Empire
378,Dallas
379,Pleasanton
383,Clarksville
384,Turtle Creek
386,Braxton
391,Liberal
393,Corpus Christi
394,Grand Junction
395,Hardyville
397,San Francisco
400,Jim Thorpe
401,Idaho Falls
402,Carthage
403,Louisville
405,Hollywood
407,Tucson
408,Lorain
409,Bloomington
412,Churchville
413,Beebe
414,Hinesville
419,Charlack
420,Redding
421,Conroe
423,Plymouth
425,Bosque Farms
429,Berryville
435,Joplin
436,Seneca
437,Haines City
438,Berkeley Township
440,Tulsa
442,Braselton
443,Elgin
444,Glendive
446,Hart
447,Fairfield
448,Tempe
449,Oregon
450,Danville
451,Berwyn
452,Clarkesville
454,Marion
455,Killeen
457,El Paso
458,Carmichael
461,Omaha
463,Salinas
465,Dearborn
467,"West Town, Chicago"
468,Rolling Hills
472,Carson
474,Gilcrest
475,Woodland Hills
476,Towanda
480,"South Shore, Chicago"
483,Cartersville
484,Delray Beach
487,Rialto
490,Bristol
491,Lubbock
494,Graston
496,Bingham
497,Hilmar
499,Flagstaff
500,Crawfordsville
501,Wolcottville
502,Suffolk
503,Sunnyvale
504,Kinloch
506,Countryside
507,Newark
508,Topeka
510,McDonough
513,Maple Valley
514,Seymour
516,Robinsonville
519,Central
520,Rosemead
521,Gardena
523,Stanton
530,Chicago Heights
531,Oglesby
532,Clinton
534,Muskogee
535,Tishomingo
536,Prospect Heights
539,LaBelle
540,St. Petersburg
542,Austell
543,Lima
544,East St. Louis
546,Merced
547,Nipinnawasee
548,Ashley
549,Yukon
551,Huntsville
552,Lancaster
555,Watsontown
560,Hartford
561,Onsted
562,Battle Ground
563,Norwalk
566,Longmont
568,Greenville
569,North Las Vegas
573,Mount Airy
574,Benton Harbor
576,Fort Lauderdale
577,Falls Church
578,Pacoima
579,Sicklerville
581,Owings Mills
582,Union
583,Slainesville
584,Affton
585,Montgomery
588,Oak Creek
591,Rancho Cucamonga
592,Hilo
594,Menominee
595,Fairfax
597,Goodman
599,El Segundo
600,Placerville
601,Roanoke
602,Sarasota
606,Las Cruces
607,Warrenton
612,North Hollywood
614,Rogers
615,Hendersonville
616,North Augusta
617,Grovetown
618,"Grand Boulevard, Chicago"
621,Harlingen
622,Ferguson
623,Malvern
624,Manhattan
625,Inglewood
632,Whittier
634,Riverdale
635,Haughton
637,Parkesburg
638,Independence
640,Battle Creek
641,Little Rock
642,Grand Coteau
643,Rancho Cordova
644,Bellevue
653,West Dallas
657,Adrian
658,Ventura
659,Rio Rancho
660,Opelousas
662,Ambler
663,Mesa
664,Fairview
665,Williamstown
666,Ambrose
667,Honolulu
668,Shreveport
670,Lebanon
671,Terre Haute
678,Champaign
679,Ceres
680,Milwaukee
681,Watervliet
682,Corning
686,Warren
688,Pensacola
690,Potts Camp
692,North Judson
694,Crownpoint
695,Merrillville
696,Gary
697,Euclid
698,St. Joseph
702,Cripple Creek
703,Cambridge Township
706,Wrightstown
708,Hackettstown
711,Akron
713,Tomball
714,Monroe
715,Orleans
717,Mountain View
721,Santa Fe
723,Saginaw
724,Coffman
725,Lake Geneva
729,Vichy
730,Beverly Hills
731,Zebulon
733,King City
734,Monahans
737,Fairbanks
738,Pahrump
744,Borrego Springs
745,Valley Cottage
747,Fort Valley
749,Monrovia
750,Manteca
751,La Porte
752,Roxbury
757,Pleasant Ridge
760,Kent
761,Baytown
762,Portsmouth
764,Bloomingdale
766,Flint
767,Evansville
768,Birmingham
769,Costa Mesa
770,Nogales
771,Sioux City
772,Cahokia
774,Pine Valley
776,Edina
777,Owensboro
778,Bethesda
779,Camp Hill
780,Santa Clarita
781,
782,Lena
